Class ID,Class Name,Section,Room,Instruction Type,Time
16183,PSYC 305L - Laboratory in Cognitive Psychology,"07-ACT
Regular",Hum 622 - Instr Bio Lab (PSYC),In Person,Th 1:00PM - 3:00PM
17069,PSYC 305L - Laboratory in Cognitive Psychology,"09-ACT
Regular",Hum 622 - Instr Bio Lab (PSYC),In Person,Mo 4:00PM - 6:00PM
16184,PSYC 306 - Biopsychology,"02-LEC
Regular",Hum 524 - Lecture Room,In Person,MoWe 5:30PM - 6:45PM
16653,PSYC 306L - Laboratory in Biopsychology,"03-ACT
Regular",Hum 622 - Instr Bio Lab (PSYC),In Person,Th 3:00PM - 5:00PM
16502,PSYC 312 - The Psychology of Human Sexual Behavior,"01-LEC
Regular",GH 252 - Lecture Room,In Person,MoWe 2:30PM - 3:45PM
16978,PSYC 312 - The Psychology of Human Sexual Behavior,"02-LEC
Regular",Hum 228 - Lecture Room,In Person,Mo 4:00PM - 6:45PM
17807,PSYC 318 - Political Psychology,"01-LEC
Regular",Hum 524 - Lecture Room,In Person,TuTh 10:00AM - 11:15AM
17322,PSYC 331 - Personality Psychology,"06-LEC
Regular",Hum 601 - Lecture Room,In Person,Mo 4:00PM - 6:45PM
17321,PSYC 331 - Personality Psychology,"54-LEC
Regular",Online,Fully Online,TBA
16015,PSYC 341 - Psychological Disorders,"02-LEC
Regular",Hum 602 - Lecture Room,In Person,MoWe 2:30PM - 3:45PM
16017,PSYC 341 - Psychological Disorders,"05-LEC
Regular",Hum 601 - Lecture Room,In Person,TuTh 10:00AM - 11:15AM
16524,PSYC 341 - Psychological Disorders,"06-LEC
Regular",Hum 601 - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
17323,PSYC 341 - Psychological Disorders,"07-LEC
Regular",Hum 601 - Lecture Room,In Person,TuTh 2:30PM - 3:45PM
17171,PSYC 341 - Psychological Disorders,"52-LEC
Regular",Online,Fully Online,TBA
16018,PSYC 351 - Social Psychology,"01-LEC
Regular",Hum 602 - Lecture Room,In Person,MoWeFr 12:00PM - 12:50PM
16770,PSYC 351 - Social Psychology,"05-LEC
Regular",GH 252 - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
17326,PSYC 351 - Social Psychology,"07-LEC
Regular",KHS 199 - Lecture Room,In Person,We 7:00PM - 9:45PM
17174,PSYC 362 - Psychology of Aging,"01-LEC
Regular",SGMH 1406 - Lecture,In Person,TuTh 11:30AM - 12:45PM
21586,PSYC 362 - Psychology of Aging,"52-LEC
Regular",Online,Fully Online,TBA
16525,PSYC 391 - Industrial/Organizational Psychology,"01-LEC
Regular",Hum 524 - Lecture Room,In Person,MoWe 2:30PM - 3:45PM
16370,PSYC 391 - Industrial/Organizational Psychology,"03-LEC
Regular",Hum 524 - Lecture Room,In Person,Tu 7:00PM - 9:45PM
17176,PSYC 391 - Industrial/Organizational Psychology,"52-LEC
Regular",Online,Fully Online,TBA
16381,PSYC 408 - History of Psychology,"01-LEC
Regular",Hum 522 - Lecture Room,In Person,MoWe 8:30AM - 9:45AM
17177,PSYC 408 - History of Psychology,"02-LEC
Regular",Hum 602 - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
16981,PSYC 410 - History of Psychopathology,"01-DIS
Regular",Hum 524 - Lecture Room,In Person,TuTh 8:30AM - 9:45AM
16980,PSYC 415 - Cognitive Processes,"01-SEM
Regular",Hum 228 - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
20429,PSYC 431 - Traditional Theories of Personality,"01-SEM
Regular",Hum 228 - Lecture Room,In Person,Th 4:00PM - 6:45PM
17470,PSYC 432 - Evolutionary Theories of Personality,"01-LEC
Regular",Hum 524 - Lecture Room,In Person,Fr 10:00AM - 12:45PM
16567,PSYC 461 - Psychological Testing and Assessment,"01-LEC
Regular",SGMH 1506 - Lecture,In Person,TuTh 1:00PM - 2:15PM
21659,PSYC 461 - Psychological Testing and Assessment,"03-LEC
Regular",Hum 602 - Lecture Room,In Person,We 4:00PM - 6:45PM
17517,PSYC 474 - Health Psychology,"51-DIS
Regular",Online,Fully Online,TBA
21556,PSYC 476 - Racial/Ethnic Health Psychology,"02-LEC
Regular",Hum 524 - Lecture Room,In Person,MoWe 1:00PM - 2:15PM
16540,PSYC 481 - Survey of Clinical Psychology,"02-LEC
Regular",Hum 601 - Lecture Room,In Person,We 4:00PM - 6:45PM
20434,PSYC 486 - Personnel Psychology,"01-LEC
Regular",Hum 524 - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
16025,PSYC 495 - Field Placement in Psychology,"01-DIS
Regular",Hum 228 - Lecture Room,In Person,MoWe 8:30AM - 9:20AM
16163,PSYC 495 - Field Placement in Psychology,"02-ACT
Regular",TBA,In Person,TBA
16028,PSYC 495 - Field Placement in Psychology,"03-DIS
Regular",Hum 602 - Lecture Room,In Person,Mo 4:00PM - 5:40PM
16166,PSYC 495 - Field Placement in Psychology,"04-ACT
Regular",TBA,In Person,TBA
16026,PSYC 495 - Field Placement in Psychology,"05-DIS
Regular",Hum 524 - Lecture Room,In Person,Tu 4:00PM - 5:40PM
16164,PSYC 495 - Field Placement in Psychology,"06-ACT
Regular",TBA,In Person,TBA
16794,PSYC 495 - Field Placement in Psychology,"54-DIS
Regular",Online,Fully Online,TBA
16795,PSYC 495 - Field Placement in Psychology,"55-ACT
Regular",Online,Fully Online,TBA
17186,PSYC 495 - Field Placement in Psychology,"58-DIS
Regular",Online,Fully Online,TBA
17187,PSYC 495 - Field Placement in Psychology,"59-ACT
Regular",Online,Fully Online,TBA
17329,PSYC 495 - Field Placement in Psychology,"62-DIS
Regular",Online,Fully Online,TBA
17330,PSYC 495 - Field Placement in Psychology,"63-ACT
Regular",Online,Fully Online,TBA
17580,PSYC 495 - Field Placement in Psychology,"64-DIS
Regular",Online,Fully Online,TBA
17581,PSYC 495 - Field Placement in Psychology,"65-ACT
Regular",Online,Fully Online,TBA
17596,PSYC 495 - Field Placement in Psychology,"66-DIS
Regular",Online,Fully Online,TBA
17597,PSYC 495 - Field Placement in Psychology,"67-ACT
Regular",Online,Fully Online,TBA
16051,PSYC 510 - Research Design,"01-SEM
Regular",Hum 606 - Seminar (PSYC),In Person,Th 10:00AM - 12:45PM
16324,PSYC 520T - Seminar: Advanced Topics in Psychological Research,"01-SEM
Regular",Hum 606 - Seminar (PSYC),In Person,Th 1:00PM - 3:45PM
17192,PSYC 520T - Seminar: Advanced Topics in Psychological Research,"02-SEM
Regular",Hum 606 - Seminar (PSYC),In Person,Mo 1:00PM - 3:45PM
16691,PSYC 548 - Psychotherapy Techniques,"01-SEM
Regular",Hum 606 - Seminar (PSYC),In Person,Tu 4:00PM - 5:40PM
16167,PSYC 548 - Psychotherapy Techniques,"02-LAB
Regular",Hum 606 - Seminar (PSYC),In Person,Th 4:00PM - 5:30PM
16692,PSYC 548 - Psychotherapy Techniques,"03-SEM
Regular",Hum 606 - Seminar (PSYC),In Person,Tu 4:00PM - 5:40PM
16290,PSYC 548 - Psychotherapy Techniques,"04-LAB
Regular",Hum 606 - Seminar (PSYC),In Person,Th 5:30PM - 7:00PM
16293,PSYC 560 - Child and Adolescent Treatment,"01-SEM
Regular",Hum 606 - Seminar (PSYC),In Person,Tu 1:00PM - 3:45PM
17193,PSYC 561 - Clinical Psychology Assessment,"01-SEM
Regular",EC 047 - Seminar,In Person,Tu 1:00PM - 3:45PM
17560,PSYC 569 - Cross-Cultural Psychology,"02-SEM
Regular",Hum 606 - Seminar (PSYC),In Person,Tu 10:00AM - 12:45PM
