Class ID,Class Name,Section,Room,Instruction Type,Time
10003,ART 101 - Introduction to Art,"01-LEC
Regular",VA-A113 - Lecture Room,In Person,MoWeFr 8:00AM - 8:50AM
11472,ART 103 - Two-Dimensional Design,"03-ACT
Regular",VA-D180 - Teaching Lab,In Person,MoWe 4:00PM - 6:45PM
10483,ART 104 - Three-Dimensional Design,"05-ACT
Regular",VA-C140 - Teaching Lab,In Person,We 1:00PM - 6:45PM
11479,ART 104 - Three-Dimensional Design,"06-ACT
Regular",VA-C148 - Teaching Lab,In Person,Fr 9:00AM - 3:45PM
11888,ART 106B - Beginning Ceramics,"01-ACT
Regular",VA-B123 - Teaching Lab,In Person,TuTh 4:00PM - 6:45PM
12004,ART 107B - Beginning Painting,"08-ACT
Regular",VA-E192 - Drawing and Painting,In Person,MoWe 7:00PM - 9:45PM
22090,ART 107B - Beginning Painting,"09-ACT
Regular",VA-D176 - Teaching Lab,In Person,MoWe 9:00AM - 11:45AM
11854,ART 117 - Life Drawing,"08-ACT
Regular",VA-D280 - Teaching Lab,In Person,Sa 4:00PM - 9:45PM
11452,ART 207B - Drawing and Painting (Experimental Methods and Materials),"02-ACT
Regular",VA-D164 - Teaching Lab,In Person,TuTh 8:30AM - 11:15AM
11732,ART 255A - Introduction to 3D Modeling,"02-ACT
Regular","VA-H209 - Computer Lab (MAC)
Online",Mostly Online w/ In-Person Mtg,"Mo 7:00PM - 9:45PM
TBA"
11817,ART 255B - Introduction to 3D Animation,"02-ACT
Regular",Zoom,Fully Online,Fr 4:00PM - 9:45PM
10522,ART 307A - Drawing and Painting,"02-ACT
Regular",VA-D164 - Teaching Lab,In Person,Tu 1:00PM - 6:45PM
10523,ART 307B - Drawing and Painting,"02-ACT
Regular",VA-D164 - Teaching Lab,In Person,Tu 1:00PM - 6:45PM
11471,ART 310B - Watercolor,"01-ACT
Regular",VA-D275 - Teaching Lab,In Person,Th 1:00PM - 6:45PM
11972,ART 315A - Jewelry,"03-ACT
Regular",VA-C144 - Teaching Lab,In Person,Fr 9:00AM - 3:45PM
11993,"ART 317A - Life Studies, Drawing","09-ACT
Regular",VA-D280 - Teaching Lab,In Person,TuTh 7:00PM - 9:45PM
12012,ART 318A - Drawing and Painting the Head and Hands,"04-ACT
Regular",VA-E192 - Drawing and Painting,In Person,TuTh 7:00PM - 9:45PM
11591,ART 323B - Graphic Design,"01-ACT
Regular",VA-H208 - Computer Lab (MAC),In Person,MoWe 9:00AM - 11:45AM
11768,ART 323B - Graphic Design,"03-ACT
Regular",VA-H101 - Computer Lab,In Person,We 1:00PM - 6:45PM
21403,ART 325 - Digital Fabrication,"01-ACT
Regular","VA-C140 - Teaching Lab
VA-H101 - Computer Lab",In Person,"MoWe 7:00PM - 9:45PM
MoWe 7:00PM - 9:45PM"
21348,ART 338A - Creative Photography,"05-ACT
Regular",VA-E283 - Photography Studio,In Person,Fr 9:00AM - 3:45PM
11896,ART 338B - Creative Photography,"01-ACT
Regular","VA-E283 - Photography Studio
Online",Mostly In-Person (Hybrid),"Th 1:00PM - 6:45PM
TBA"
11897,ART 338B - Creative Photography,"02-ACT
Regular","VA-E283 - Photography Studio
Online",Mostly In-Person (Hybrid),"TuTh 9:00AM - 11:45AM
TBA"
11702,ART 338C - Creative Digital Photography,"01-ACT
Regular","VA-E286 - Computer Lab (Mac)
Online",Mostly Online w/ In-Person Mtg,"Tu 1:00PM - 3:45PM
TBA"
11822,ART 338C - Creative Digital Photography,"03-ACT
Regular","VA-E286 - Computer Lab (Mac)
Online",Mostly Online w/ In-Person Mtg,"Mo 4:00PM - 6:45PM
TBA"
11812,ART 353A - Animation Preproduction,"02-ACT
Regular","VA-H213 - Computer Lab
Online",Mostly Online w/ In-Person Mtg,"Mo 7:00PM - 9:45PM
TBA"
21352,ART 355A - 3D Character Modeling,"03-ACT
Regular","VA-H207 - Computer Lab (PC)
Online",Mostly Online w/ In-Person Mtg,"Th 7:00PM - 9:45PM
TBA"
11810,ART 355B - 3D Environment Modeling,"02-ACT
Regular","Online
VA-H209 - Computer Lab (MAC)",Mostly Online w/ In-Person Mtg,"Tu 7:00PM - 9:45PM
Th 7:00PM - 9:45PM"
11833,ART 355C - 3D Rigging and Animation,"01-ACT
Regular",VA-H207 - Computer Lab (PC),In Person,Tu 4:00PM - 9:45PM
11830,ART 357 - Woodcuts and Monotypes,"01-ACT
Regular",VA-D181 - Teaching Lab,In Person,Fr 9:00AM - 3:45PM
22018,ART 363A - Illustration,"08-ACT
Regular",VA-H110 - Hand Animation Class,In Person,TuTh 1:00PM - 3:45PM
10035,ART 380 - Art and Child Development,"06-ACT
Regular",VA-D281 - Teaching Lab,In Person,MoWe 4:00PM - 6:45PM
22185,ART 380 - Art and Child Development,"22-ACT
Regular",Online,Fully Online,TBA
11798,ART 382 - Art and Social Justice,"01-ACT
Regular",VA-D275 - Teaching Lab,In Person,Fr 9:00AM - 3:45PM
21404,ART 383 - Museum and Public Programs for Teaching Artists,"01-ACT
Regular",VA-D281 - Teaching Lab,In Person,Fr 9:00AM - 3:45PM
11898,ART 410 - The Digital Studio,"01-ACT
Regular","VA-E286 - Computer Lab (Mac)
Online",Mostly Online w/ In-Person Mtg,"Mo 9:00AM - 11:45AM
TBA"
10036,ART 413 - History of Contemporary Art,"01-LEC
Regular",VA-A113 - Lecture Room,In Person,We 7:00PM - 9:45PM
