Class ID,Class Name,Section,Room,Instruction Type,Time
17276,EGME 102 - Engineering Graphics,"01-DIS
Regular",CS 309 - Teaching Lab,In Person,MoWe 8:00AM - 8:25AM
17277,EGME 102 - Engineering Graphics,"02-LAB
Regular",CS 309 - Teaching Lab,In Person,MoWe 8:30AM - 9:45AM
17278,EGME 102 - Engineering Graphics,"03-DIS
Regular",CS 304 - Teaching Lab,In Person,MoWe 8:00AM - 8:25AM
17279,EGME 102 - Engineering Graphics,"04-LAB
Regular",CS 304 - Teaching Lab,In Person,MoWe 8:30AM - 9:45AM
17280,EGME 102 - Engineering Graphics,"05-DIS
Regular",CS 304 - Teaching Lab,In Person,MoWe 2:30PM - 2:55PM
17281,EGME 102 - Engineering Graphics,"06-LAB
Regular",CS 304 - Teaching Lab,In Person,MoWe 3:00PM - 4:15PM
17471,EGME 102 - Engineering Graphics,"07-DIS
Regular",CS 309 - Teaching Lab,In Person,TuTh 11:30AM - 11:55AM
17472,EGME 102 - Engineering Graphics,"08-LAB
Regular",CS 309 - Teaching Lab,In Person,TuTh 12:00PM - 1:15PM
17372,EGME 102 - Engineering Graphics,"09-DIS
Regular",CS 309 - Teaching Lab,In Person,TuTh 8:00AM - 8:25AM
17373,EGME 102 - Engineering Graphics,"10-LAB
Regular",CS 309 - Teaching Lab,In Person,TuTh 8:30AM - 9:45AM
17549,EGME 102 - Engineering Graphics,"11-DIS
Regular",CS 309 - Teaching Lab,In Person,TuTh 7:00PM - 7:25PM
17550,EGME 102 - Engineering Graphics,"12-LAB
Regular",CS 309 - Teaching Lab,In Person,TuTh 7:30PM - 8:45PM
17552,EGME 102 - Engineering Graphics,"13-DIS
Regular",CS 309 - Teaching Lab,In Person,MoWe 7:00PM - 7:25PM
17553,EGME 102 - Engineering Graphics,"14-LAB
Regular",CS 309 - Teaching Lab,In Person,MoWe 7:30PM - 8:45PM
20289,EGME 102 - Engineering Graphics,"19-DIS
Regular",CS 309 - Teaching Lab,In Person,MoWe 11:30AM - 11:55AM
20291,EGME 102 - Engineering Graphics,"20-LAB
Regular",CS 309 - Teaching Lab,In Person,MoWe 12:00PM - 1:15PM
20294,EGME 205 - Digital Computation,"01-DIS
Regular",CS 309 - Teaching Lab,In Person,MoWe 10:00AM - 11:15AM
17642,EGME 205 - Digital Computation,"03-DIS
Regular",CS 304 - Teaching Lab,In Person,MoWe 11:30AM - 12:45PM
17335,EGME 205 - Digital Computation,"05-DIS
Regular",CS 304 - Teaching Lab,In Person,MoWe 1:00PM - 2:15PM
17336,EGME 205 - Digital Computation,"06-DIS
Regular",CS 304 - Teaching Lab,In Person,TuTh 2:30PM - 3:45PM
17271,EGME 304 - Thermodynamics,"01-DIS
Regular",E-NE042 - Lecture Room,In Person,MoWe 11:30AM - 12:45PM
17291,EGME 304 - Thermodynamics,"02-DIS
Regular",E 201 - Teaching Lab,In Person,MoWe 2:30PM - 3:45PM
17641,EGME 304 - Thermodynamics,"03-DIS
Regular",E 201 - Teaching Lab,In Person,MoWe 5:30PM - 6:45PM
17647,EGME 306A - Solid Mechanics Laboratory,"03-LAB
Regular",E-NE042 - Lecture Room,In Person,Fr 8:30AM - 11:15AM
17299,EGME 306A - Solid Mechanics Laboratory,"04-LAB
Regular",E-NE042 - Lecture Room,In Person,Tu 8:30AM - 11:15AM
17313,EGME 306A - Solid Mechanics Laboratory,"05-LAB
Regular",E-NE042 - Lecture Room,In Person,Tu 11:30AM - 2:15PM
17367,EGME 306A - Solid Mechanics Laboratory,"06-LAB
Regular",E-NE042 - Lecture Room,In Person,Fr 11:30AM - 2:15PM
